x,Cpl,Cpu
0.000000000000000000e+00,-2.904599999999999960e-01,-6.497899999999999787e-01
1.000000000000000021e-02,9.906909210526315679e-01,-2.166132500000000238e+00
2.000000000000000042e-02,8.516665415549596885e-01,-2.020987442528735301e+00
2.999999999999999889e-02,7.182250000000000023e-01,-1.887617221172022797e+00
4.000000000000000083e-02,6.170425700934579760e-01,-1.782533360522022825e+00
5.000000000000000278e-02,5.401328070175438478e-01,-1.699790147420147557e+00
5.999999999999999778e-02,4.797972982456140678e-01,-1.631732421621621576e+00
7.000000000000000666e-02,4.322669018404907693e-01,-1.574366005802707802e+00
8.000000000000000167e-02,3.940924250681199226e-01,-1.525025462555066103e+00
8.999999999999999667e-02,3.626652510288065900e-01,-1.481697837837838039e+00
1.000000000000000056e-01,3.361480532319391368e-01,-1.442942457364341236e+00
1.100000000000000006e-01,3.133239598278335647e-01,-1.408469589147286927e+00
1.199999999999999956e-01,2.935893830703013019e-01,-1.377191478454680595e+00
1.300000000000000044e-01,2.774690508940852451e-01,-1.348105701943844492e+00
1.400000000000000133e-01,2.630141278295605733e-01,-1.320897130801687691e+00
1.499999999999999944e-01,2.500474999999999781e-01,-1.296101068917018262e+00
1.600000000000000033e-01,2.394224999999999826e-01,-1.272891199999999889e+00
1.700000000000000122e-01,2.296798656429942243e-01,-1.250997115646258484e+00
1.799999999999999933e-01,2.209402623160588719e-01,-1.230983510204081588e+00
1.900000000000000022e-01,2.135665930599369156e-01,-1.213292209536601662e+00
2.000000000000000111e-01,2.067244069912609061e-01,-1.197682353723404258e+00
2.099999999999999922e-01,2.007069288389513040e-01,-1.185833949468085180e+00
2.200000000000000011e-01,1.954000185528756983e-01,-1.142549373350923547e+00
2.300000000000000100e-01,1.904515715162676259e-01,-1.093886583769633436e+00
2.399999999999999911e-01,1.862097053406998048e-01,-1.062198102094240815e+00
2.500000000000000000e-01,1.822719512195122016e-01,-1.040734817945383694e+00
2.600000000000000089e-01,1.786743902439024423e-01,-1.023946326002587393e+00
2.700000000000000178e-01,1.755018496058217137e-01,-1.009133906856403584e+00
2.800000000000000266e-01,1.724885395292697354e-01,-9.939932046332045079e-01
2.899999999999999800e-01,1.698029631864816091e-01,-9.786009609224856076e-01
2.999999999999999889e-01,1.672758138138138173e-01,-9.624959000640614937e-01
3.099999999999999978e-01,1.648914294294294425e-01,-9.461023611997447791e-01
3.200000000000000067e-01,1.626896050269299732e-01,-9.294271857051690233e-01
3.300000000000000155e-01,1.605411575178997408e-01,-9.123520851875397408e-01
3.400000000000000244e-01,1.584946181384248032e-01,-8.951131178707223413e-01
3.500000000000000333e-01,1.564573230220107081e-01,-8.776352978453737519e-01
3.599999999999999867e-01,1.544287685901249429e-01,-8.598315656565655996e-01
3.699999999999999956e-01,1.523290261282660429e-01,-8.418410188679245065e-01
3.800000000000000044e-01,1.501506468842729869e-01,-8.234636603773585195e-01
3.900000000000000133e-01,1.476046528189911000e-01,-8.040784730913641543e-01
4.000000000000000222e-01,1.448361167361524593e-01,-7.840620869565215756e-01
4.100000000000000311e-01,1.418105062537224625e-01,-7.641925217391303260e-01
4.199999999999999845e-01,1.395009552238805905e-01,-7.452806114885731636e-01
4.299999999999999933e-01,1.374381980906921319e-01,-7.277698023471278477e-01
4.400000000000000022e-01,1.357854534606205144e-01,-7.108796919285274019e-01
4.500000000000000111e-01,1.342990941597139443e-01,-6.942778132678132375e-01
4.600000000000000200e-01,1.330297258641239544e-01,-6.782888697788697074e-01
4.700000000000000289e-01,1.319770577724836136e-01,-6.625833742331287413e-01
4.799999999999999822e-01,1.310114030915576488e-01,-6.471232515337422830e-01
4.899999999999999911e-01,1.302504042806182927e-01,-6.320688970588235200e-01
5.000000000000000000e-01,1.295577850356294525e-01,-6.171589351285189373e-01
5.100000000000000089e-01,1.289698990498812370e-01,-6.025200122399019254e-01
5.200000000000000178e-01,1.284839063426200245e-01,-5.880881418092908097e-01
5.300000000000000266e-01,1.280420379146919307e-01,-5.737737996334757451e-01
5.400000000000000355e-01,1.277102843601895799e-01,-5.597237080024434208e-01
5.500000000000000444e-01,1.274084852071005747e-01,-5.457619047619046704e-01
